XSTAR2a4;Q1a;Q1b;Q1c;Q1d;Q1e;Q1f;Q1g;Q1g_text;Q2a;Q2b;Q2c;Q2d;Q2e;Q2f;Q2g;Q2h;Q2h_text;Q3a;Q3b;Q3c;Q3d;Q3e;Q3f;Q4a;Q4b;Q4c;Q4d;Q4e;Q4f;Q4g;Q5a;Q5b;Q5c;Q5d;Q5e;Q5f;Q5g;Q6a;Q6b;Q6c;Q6d;Q6e;Q6f;Q6g;Q7a;Q7b;Q7c;Q7d;Q7e;Q7f;Q7g;Q8;Q8_12_text;Q9a;Q9b;Q9c;Q9d;Q10;Q11a;Q11b;Q11c;Q11d;Q11e;Q11f;Q11g;Q11g_text;Q12a;Q12b;Q12c;Q12d;Q12e;Q12f;Q12g;Q12h;Q12i;Q12j;Q12k;Q12l;Q12l_text;Q13;Q14a;Q14b;Q14c;Q14d;Q14e;Q14f;Q14f_text;Q15a;Q15b;Q15c;Q15d;Q16;Q17;Q18;Q19a;Q19b;Q19c;Q19d;Q19e;Q21a;Q22;Q23a;Q23b;Q23c;Q23d;Q23e;Q23f;Q23f_text;Q24;Q26;Q27;Q28;Q29;XSPOL;XIZ1a2;XIZ1a2_7_text;XDS2a4;Q30;Q30_7_text;Q31;XLOKACREGs;XSPOL1
7;1;1;1;1;1;1;0;-2;0;1;1;0;0;0;0;0;-2;1;1;4;6;6;7;-99;7;5;3;-99;-99;-99;-99;4;-99;4;-99;-99;-99;-99;5;5;4;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;8;-2;5;7;6;6;4;2;2;3;2;2;1;-1;-1;0;0;0;0;0;0;0;1;0;1;0;0;-2;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;10;4;7;1;2;4;4;2;1;1;7;7;7;1;-1;2;6;4;10;5;2;4;-2;1;3;-2;1;8;2
6;0;0;0;0;1;0;0;-2;1;0;0;0;1;0;0;0;-2;6;4;5;3;7;6;-99;6;6;-99;4;-99;-99;-99;6;6;-99;-99;-99;-99;-99;5;5;-99;4;-99;3;-99;5;-99;-99;2;-99;1;8;-2;6;7;5;7;1;1;2;3;2;1;2;-1;-1;0;0;0;0;0;0;0;1;0;1;0;0;-2;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;1;0;5;6;6;5;3;3;1;5;6;7;6;7;-1;-1;1;1;2;5;7;2;1;-2;1;2;-2;2;8;2
6;1;0;0;0;0;1;0;-2;0;0;0;1;0;0;0;0;-2;4;5;6;5;6;7;-99;7;-99;-99;7;-99;-99;-99;6;-99;-99;7;-99;-99;-99;7;-99;-99;6;-99;-99;-99;-99;-99;-99;-99;-99;-99;6;-2;6;5;5;7;2;2;1;2;2;1;2;-1;-1;0;0;0;0;0;0;0;1;0;0;0;0;-2;1;5;1;6;7;6;-1;-1;7;6;6;7;1;1;3;6;7;7;6;4;5;2;5;4;6;5;5;-1;-1;5;70;50;100;70;1;1;-2;1;2;-2;1;8;2
4;1;1;0;0;0;1;0;-2;1;0;0;0;0;0;0;0;-2;4;1;5;6;5;5;4;6;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;5;7;6;5;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2;-2;6;6;6;7;3;3;2;3;2;1;1;-1;-1;0;1;0;0;0;0;0;0;0;0;0;0;-2;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;2;-2;10;7;7;7;7;3;6;1;7;7;7;7;6;-1;-1;8;3;5;15;15;2;2;-2;1;3;-2;1;8;2
3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
7;1;0;0;0;0;0;0;-2;0;0;1;0;0;0;0;0;-2;7;6;6;6;7;7;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
6;1;0;0;0;0;1;0;-2;1;0;0;0;0;0;1;0;-2;6;5;2;2;7;6;-99;6;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;-99;2;6;6;-99;-99;-99;-99;-99;6;-99;-99;-99;-99;-99;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
7;0;0;0;0;0;0;1;dodatna izobrazba;1;0;1;1;0;0;0;0;-2;5;3;6;2;6;6;-99;7;-99;-99;-99;-99;-99;-99;5;-99;-99;-99;-99;-99;5;6;5;5;6;6;-99;-99;-99;-99;-99;-99;-99;-99;8;-2;7;7;-99;7;2;2;1;1;2;1;2;-1;-1;0;0;0;0;0;0;0;1;0;1;0;0;-2;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;2;3;6;6;4;4;2;3;2;2;5;5;2;5;-1;-1;5;5;7;15;15;1;4;-2;1;2;-2;1;8;2
6;1;1;1;1;0;1;0;-2;0;0;0;0;0;0;1;0;-2;5;5;7;7;7;7;7;5;4;4;7;7;6;7;-99;-99;3;-99;-99;-99;6;6;-99;-99;6;6;5;-99;-99;-99;-99;-99;-99;-99;7;-2;7;7;6;7;1;4;1;5;4;1;3;-1;-1;0;0;0;0;0;0;1;0;0;0;0;0;-2;2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;-2;1;1;5;5;7;6;4;3;5;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
4;1;1;1;0;0;1;0;-2;0;0;1;0;0;1;1;0;-2;6;5;5;7;7;7;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3;-3
